item,itemLabel,startDate,endDate,sourceDate,psid
Q262299,Ingibjörg Sólrún Gísladóttir,1994-06-13,2003-02-01,,Q262299-8CB22B97-F56D-40B9-9EDE-E825C0F62B35
Q3482449,Þórólfur Árnason,2003-02-01,2004-11-30,,Q3482449-8cb8fcba-4827-1620-c152-d2332fee0c40
Q467461,Steinunn Valdís Óskarsdóttir,2004-11-30,2006-06-13,,Q467461-F45CC3CD-B12F-4329-9780-CD1C3348C2B6
Q1525047,Vilhjálmur Þórmundur Vilhjálmsson,2006-06-13,2007-10-16,2022-06-17,Q1525047-A54DDBE0-C173-4839-AE6C-4BF7C6896800
Q1151234,Dagur Bergþóruson Eggertsson,2007-10-16,2008-01-24,2022-07-09,Q1151234-9A9188C7-5202-4692-BFB5-161E1A9077A8
Q2257073,Ólafur Friðrik Magnússon,2008-01-24,2008-08-21,2022-06-17,Q2257073-b417ae78-421d-c42f-df3a-e0e4c327d310
Q2276642,Hanna Birna Kristjánsdóttir,2008-08-21,2010-06-15,,Q2276642-5BE70C7B-0EE0-40AB-8570-276C8E61594D
Q445921,Jón Gnarr,2010-06-15,2014-06-16,,Q445921-e61290c7-410b-f639-551e-b74f55f56e0c
Q1151234,Dagur Bergþóruson Eggertsson,2014-06-16,,2022-07-09,Q1151234-560072E1-D766-4EFB-A071-CA4AC6ED5B8C
